Codi	Municipi	BIG	QRA
81803	Ripollet	20.698	4.645
259139	Riu de Cerdanya	20.688	7.432
171485	Riudarenes	20.904	10.162
171498	Riudaura	23.577	6.025
431270	Riudecanyes	20.517	5.528
431286	Riudecols	19.914	4.568
171501	Riudellots de la Selva	22.996	5.295
431299	Riudoms	19.520	4.981
171518	Riumors	20.909	5.334
81810	Roca del Vallès, la	25.866	6.936
431303	Rocafort de Queralt	16.474	3.609
431310	Roda de Berà	20.245	5.266
81831	Roda de Ter	20.724	4.834
431325	Rodonyà	16.339	3.684
431331	Roquetes	17.767	4.260
171523	Roses	18.069	4.847
251898	Rosselló	19.541	4.200
431346	Rourell, el	19.317	3.947
81846	Rubí	21.756	5.001
81859	Rubió	20.560	6.025
171539	Rupià	23.039	5.682
89019	Rupit i Pruit	17.791	4.281
81878	Sabadell	22.875	5.834
81884	Sagàs	21.518	5.129
251902	Salàs de Pallars	19.575	5.111
81901	Saldes	25.832	7.638
171544	Sales de Llierca	17.964	3.851
81918	Sallent	20.784	4.818
431359	Salomó	17.915	4.549
439057	Salou	20.208	5.764
171557	Salt	17.037	3.640
251919	Sanaüja	16.298	3.966
81944	Sant Adrià de Besòs	20.122	4.678
81957	Sant Agustí de Lluçanès	17.777	5.918
81960	Sant Andreu de la Barca	22.398	4.993
81976	Sant Andreu de Llavaneres	32.795	10.752
171576	Sant Andreu Salou	26.507	7.158
171833	Sant Aniol de Finestres	17.613	4.398
81982	Sant Antoni de Vilamajor	25.656	7.059
81995	Sant Bartomeu del Grau	21.264	5.404
82009	Sant Boi de Llobregat	21.408	4.950
82016	Sant Boi de Lluçanès	20.496	5.206
431362	Sant Carles de la Ràpita	18.002	4.454
82037	Sant Cebrià de Vallalta	23.492	5.662
82021	Sant Celoni	22.181	5.307
82042	Sant Climent de Llobregat	24.840	6.011
171582	Sant Climent Sescebes	18.712	4.676
82055	Sant Cugat del Vallès	42.563	15.428
82068	Sant Cugat Sesgarrigues	22.168	5.753
251961	Sant Esteve de la Sarga	10.919	3.023
82074	Sant Esteve de Palautordera	26.248	7.864
82080	Sant Esteve Sesrovires	27.754	7.063
171595	Sant Feliu de Buixalleu	20.682	5.288
82107	Sant Feliu de Codines	21.600	5.272
171609	Sant Feliu de Guíxols	19.346	5.004
82114	Sant Feliu de Llobregat	25.604	6.613
171616	Sant Feliu de Pallerols	22.578	5.304
82129	Sant Feliu Sasserra	20.666	8.502
171621	Sant Ferriol	19.110	4.653
82093	Sant Fost de Campsentelles	25.563	6.525
82135	Sant Fruitós de Bages	25.429	7.497
171637	Sant Gregori	27.820	7.076
251924	Sant Guim de Freixenet	19.081	5.173
251977	Sant Guim de la Plana	19.588	4.145
171642	Sant Hilari Sacalm	19.071	4.486
82153	Sant Hipòlit de Voltregà	21.562	4.986
81939	Sant Iscle de Vallalta	22.278	5.994
439023	Sant Jaume d'Enveja	14.891	3.545
82166	Sant Jaume de Frontanyà	19.517	5.407
171655	Sant Jaume de Llierca	21.511	5.337
431378	Sant Jaume dels Domenys	19.268	4.379
171674	Sant Joan de les Abadesses	21.284	4.881
171680	Sant Joan de Mollet	21.841	5.039
82188	Sant Joan de Vilatorrada	20.645	4.489
82172	Sant Joan Despí	27.110	7.313
171851	Sant Joan les Fonts	22.381	5.788
171668	Sant Jordi Desvalls	21.232	5.297
89030	Sant Julià de Cerdanyola	24.060	5.880
171693	Sant Julià de Ramis	25.703	6.531
82205	Sant Julià de Vilatorta	28.203	7.694
179032	Sant Julià del Llor i Bonmatí	20.755	4.534
82212	Sant Just Desvern	45.182	17.512
82227	Sant Llorenç d'Hortons	24.866	5.819
171714	Sant Llorenç de la Muga	21.071	6.162
251930	Sant Llorenç de Morunys	19.614	5.245
82233	Sant Llorenç Savall	19.701	4.523
82251	Sant Martí d'Albars	19.337	4.866
82248	Sant Martí de Centelles	21.127	4.870
171729	Sant Martí de Llémena	21.830	4.990
259025	Sant Martí de Riucorb	16.337	4.212
82264	Sant Martí de Tous	23.807	5.755
82270	Sant Martí Sarroca	19.999	4.931
82286	Sant Martí Sesgueioles	17.532	3.757
171735	Sant Martí Vell	31.222	14.242
